,input,output
127,어디는 가나 살기 어렵기는 마찬가지다.,어디를 가나 살기 어렵기는 마찬가지다.
128,그가 꽃을 화분에들 심었다.,그가 꽃을 화분들에 심었다.
129,명수는 창수에게 집을 지어다 주었다.,명수는 창수에게 밥을 지어다 주었다.
130,그는 칼을 써 놓았다.,그가 칼을 갈아 놓았다.
131,철호가 편지를 쓰고 부쳤다.,철호가 편지를 써서 부쳤다.
132,범죄가 사실이 드러났다.,범죄가 사실로 드러났다.
133,나는 그의 결정이 옳았다고 견해를 가지고 있다.,나는 그의 결정이 옳았다고 견해를 가지고 있다.
134,우리에게들 그 책이 없다.,우리들에게 그 책이 없다들.
135,준비가 안 됐어서 아직 못 떠나고 있다.,준비가 안 돼서 아직 못 떠나고 있다.
136,철호가 종이로 벽에 발랐다.,철호가 종이를 벽을 발랐다.
137,그이가 춥다.,내가 춥다.
138,철수는 종소리를 더 잘 듣더라.,철수는 종소리를 더 잘 듣더라.
139,그 친구는 내게 말아라 와라 한다.,그 친구는 내게 와라 말아라 한다.
140,손을 씻어서 밥을 먹어라.,손을 씻고 밥을 먹어라.
141,철수가 학교에 가라!,네가 학교에 가라!
142,네가 더우냐?,네가 더우냐?
143,술에 취하더니 머리가 어지러웠다.,술에 취하니 머리가 어지러웠다.
144,내 기대가 네 행위에서 어긋나고서 네 행위가 내 기대에서 어긋났다.,내 기대가 네 행위에서 어긋났고 네 행위가 내 기대에서 어긋났다.
145,사치품 안 사기를 해라!,사치품을 사지 말아라!
146,시장에 많이 팥이 났다.,시장에 많은 팥이 났다.
147,체온이 식음이 싸늘하다.,체온이 싸늘하니 식었다.
148,축대가 무너지지 말도록 해라.,축대가 무너지지 않도록 해라.
149,내가 한 턱 내라.,네가 한 턱 내라.
150,순이가 학교에 남고 공부한다.,순이가 학교에 남아서 공부한다.
151,내가 말 조심 해라.,네가 말 조심 해라.
152,나는 먼 산을 보고 있다.,나는 먼 산을 보고 있다.
153,성이 나서 날뛰는 사람은 물과 불을 모른다.,성이 나서 날뛰는 사람은 물과 불을 모른다.
154,"상자를 밀어 놓았으나, 밀리지 않았다.",상자를 밀었으나 밀리지 않았다.
155,눈 앞에 큰 산이 보아졌다.,눈 앞에 큰 산이 보였다.
156,생선이 굽혀 놓았다.,그 생선이 잘 굽혀 있다.
157,너는 영화를 보고 싶어하느냐?,너는 영화를 보고 싶으냐?
158,그는 사원이 일한다.,그는 사원으로 일한다.
159,순이가 빵을 만들고 먹었다.,순이가 빵을 만들어서 먹었다.
160,영수가 그 새를 죽였으나 안 죽었다.,영수가 그 새를 죽게 했으나 안 죽었다.
161,언제는 될지 모르지만 한번 들르지요.,언제가 될지 모르지만 한번 들르지요.
162,나는 그 아이가 가지 말기를 바란다.,나는 네가 가지 말기를 바란다.
163,노새가 나귀에 비슷하고서 나귀가 노새에 비슷하다.,노새가 나귀에 비슷하고 나귀가 노새에 비슷하다.
164,내일 공책을 다 써서 공책을 사러 가겠다.,어제 공책을 다 써서 공책을 사러 갔다.
165,철수가 영호가 왔느냐고 말했다.,철수가 영호가 왔다고 말했다.
166,나는 범인이 검문소를 통과했다고 사실을 밝혔다.,나는 범인이 검문소를 통과했다고 사실을 밝혔다.
167,이 연필은 길지만 저 연필은 길다.,이 연필은 길지만 저 연필은 짧다.
168,"담배를 피워 놓으면서, 글을 썼다.","담배를 피우면서, 글을 썼다."
169,도둑이 칼을 들어서 서 있다.,도둑이 칼을 들고 서 있다.
170,친구 가끔 여럿이 모인다.,친구가 가끔 여럿이 모인다.
171,영수가 철수한테 함께하였다.,영수와 철수가 함께하였다.
172,그는 대학을 졸업하고 일찍 나서 취직을 했다.,그는 대학을 일찍 졸업하고 나서 취직을 했다.
173,매일 12시가 다 되기 때문에 그는 집에 돌아온다.,매일 12시가 다 되어서 그는 집에 돌아온다.
174,그가 허리를 굽혀서 춤을 추었다.,그가 허리를 굽히고 춤을 추었다.
175,철수가 덥다.,내가 덥다.
176,창수는 내년부터 부지런히 공부해 오겠다고 한다.,창수는 내년부터 부지런히 공부해 가겠다고 한다.
177,철수가 영수와 학교에 간다.,철수가 영수와 같이 학교에 간다.
178,철수가 영수를 만나고 영수에게 도와 달라고 부탁했다.,철수가 영수를 만나고 영수에게 도와 달라고 부탁했다.
179,나는 방금 밥을 먹겠다.,나는 방금 밥을 먹겠다.
180,너는 바보스러워라!,너는 바보스러워져라!
181,유학했으려고 내가 의도한다.,유학하려고 내가 의도한다.
182,그가 살아 있다는 소문이 나돌았다.,그가 살아 있다는 소문이 나돌았다.
183,그의 책은 내 것보다 크다.,그의 책은 내 것보다 크다.
184,나는 너를 이 사건의 주모자를 아니라고 들었다.,나는 너를 이 사건의 주모자를 아니라고 들었다.
185,"6의 배수이라야, 2의 배수다.","6의 배수이면, 2의 배수다."
186,그는 저 회사에 들어왔다.,그는 저 회사에 들어갔다.
187,이 옷은 아주는 새 것이다.,이 옷은 아주 새 것이다.
188,아버지가 아들을 닮았다.,아들이 아버지를 닮았다.
189,머리가 길이 자랐다.,머리가 길게 자랐다.
190,너는 영화가 보고 싶어하느냐?,너는 영화가 보고 싶으냐?
191,그가 내 말을 곧게 듣는다.,그가 내 말을 곧이듣는다.
192,철수는 운동장에 뛰었다.,철수는 운동장에서 뛰었다.
193,이 항구에는 큰 배가 자주 들고 또 난다.,이 항구에는 큰 배가 자주 들고 또 난다.
194,철수가 우체국에 갔어서 편지를 부쳤다.,철수가 우체국에 가서 편지를 부쳤다.
195,나는 그 회의에 안 나가겠다고 결정을 보류했다.,나는 그 회의에 나가지 않겠다는 결정을 내렸다.
196,그 아이는 밥을 먹지 말고 잠을 잤다.,밥을 먹지 말고 잠을 자라.
197,철수에게 자기 집 소나무가 뽑혀 버렸다.,철수가 자기 집 소나무를 뽑아 버렸다.
198,내가 추워진다.,내가 추워진다.
199,어머니는 석 달된 아이에게 옷을 입혔다.,어머니는 석 달된 아이에게 옷을 입혔다.
200,내가 추위에 의하여 고의로 결석되었다.,내가 추위에 의하여 고의로 결석되었다.
201,날씨가 추워한다.,철수가 추워한다.
202,네 얼굴이 창백하지 않기를 바란다.,네 얼굴이 창백하지 않기를 바란다.
203,나는 모두를 너희가 예쁘다고 느낀다.,나는 너희를 모두가 예쁘다고 느낀다.
204,순희가 곧 돌아가겠다는 눈치다.,순희가 곧 돌아갈 눈치다.
205,그는 아내를 좋은 그림을 그린다.,그는 아내를 그림을 그린다.
206,꽃은들 그가 화분에 심었다.,꽃들은 그가 화분에 심었다.
207,아무리 굽혀 놓아도 굽혀지지 않는다.,아무리 굽혀도 굽혀지지 않는다.
208,내가 아버지는 잡은 고기를 먹었다.,내가 아버지가 잡은 고기를 먹었다.
209,여름에는 산에 들에 바다에 가자.,여름에는 산으로 들로 바다로 가자.
210,연필이 나에 의해서 잡혔다.,연필이 나에게 잡혔다.
211,형은 동생을 실력자로 추천하였다.,형은 동생을 실력자로 추천하였다.
212,그녀는 자신한테 놀랐다.,그녀는 자신에 놀랐다.
213,"그 책은 내가 읽었는데, 잃어버렸다.","그 책은 내가 읽었는데, 잃어버렸다."
214,비가 그렇게 많이 오는데 그가 올 리를 있나.,비가 그렇게 많이 오는데 그가 올 리가 있나.
215,나는 그 여자를 좋아한다.,나는 그 여자를 좋아한다.
216,영수가 밥을 먹겠고 나서 철수가 밥을 먹겠다.,영수가 밥을 먹고서 철수가 밥을 먹겠다.
217,그는 열 시까지 일을 끝내겠다고 계획을 취소했다.,그는 열 시까지 일을 끝내겠다고 계획을 세웠다.
218,철수가 의자에 앉고 신문을 읽는다.,철수가 의자에 앉아서 신문을 읽는다.
219,가지 아니하여라.,가지 말아라.
220,나만 안 가고 다른 사람은 갔다.,나만 안 가고 다른 사람은 갔다.
221,물이 맑고 있다.,물이 맑아지고 있다.
222,철수는 상자를 마루에 밀었다.,철수는 상자를 마루에서 밀었다.
223,연필을 깎아 놓다가 그만두었다.,연필을 깎다가 그만두었다.
224,가슴이 자꾸만 철렁한다.,가슴이 철렁철렁한다.
225,아무리 빨리 걷는 사람이더라도 서울서 부산까지 하루 만에는 걸어 가지 못한다.,아무리 빨리 걷는 사람일지라도 서울서 부산까지 하루 만에는 걸어 가지 못한다.
226,질적인 문제를 고려할 수가 없다.,질적인 문제를 고려할 수가 없다.
227,내가 아버지가 내가 아픕니다.,내가 아버지가 아픕니다.
228,영수가 도서관에 가고 공부한다.,영수가 도서관에 가서 공부한다.
229,도둑이 칼을 들어서 춤을 춘다.,도둑이 칼을 들고 춤을 춘다.
230,나는 그 술집에 자주 가더라.,나는 그 술집에 자주 가게 되더라.
231,그는 자신이 제일 먼저 간다기 바랐다.,그는 자신이 제일 먼저 가기 바랐다.
232,우리들은 그 사람이 좋아들.,당신들은 그 사람이 좋아들?
233,철이가 미자에게 결혼했다.,철이가 미자와 결혼했다.
234,우리 금붕어가 죽었더라. 내가 죽였어.,우리 금붕어가 죽었어. 내가 죽였어.
235,철수에게는 총기가 빛난다.,철수의 눈에는 총기가 빛난다.
236,철수는 학교에 갔으리라.,철수는 학교에 갔으리라.
237,혼자서 아이들 네 명을 기르느라고 힘이 들지 않아요.,혼자서 아이들 네 명을 기르느라고 힘이 들어요.
238,비가 왔지 않는지 모른다.,비가 오지 않는지 모른다.
239,차가 참 달린다.,차가 참 빠르게 달린다.
240,"이 집이 대단히 안 비싸고, 대단히 싸다.","이 집이 대단히 안 비싸고, 조금 비싸다."
241,영자가 앉았는 자리에 철수가 앉았다.,영자가 앉은 자리에 철수가 앉았다.
242,"지었다, 수일이 건강하여 ",수일이 건강하여 지었다.
243,할아버지는 자기가 하시지 않으셨다고 말씀하셨어요.,할아버지는 당신이 하시지 않으셨다고 말씀하셨어요.
244,동생이 웃는더라.,동생이 웃더라.
245,그가 집에 갈까 싶다.,내가 집에 갈까 싶다.
246,그는 자신이 제일 먼저 간담이 기뻤다.,그는 자신이 제일 먼저 감이 기뻤다.
247,내가 집에 갔는가 보다.,그가 집에 갔는가 보다.
248,내가 책을 읽었던 책이 없어졌다.,내가 읽었던 책이 없어졌다.
249,그가 독약을 안 먹어 죽었다.,그가 독약을 안 먹고 죽었다.
250,순이가 손이 예쁘던다.,순이가 손이 예쁘더라.
251,네가 책을 읽더냐?,내가 책을 읽더냐?
252,신문은 장관이 부하를 때린 행동을 주장했다.,신문은 장관이 부하를 때린 행동을 보도했다.
253,영이는 학교에 다님을 시작했다.,영이는 학교에 다니기를 시작했다.
254,학생이 학교 달린다.,학생이 학교에서 달린다.
255,친구가 나에게 술을 마시게 권유한다.,친구가 나에게 술을 마시게 한다.
256,현재 다섯 대 보유하는 중입니다.,현재 다섯 대 보유하고 있습니다.
257,할아버지께서 그 일에 빠져들으셨다.,할아버지께서 그 일에 빠져들으셨다.
258,너만큼 나도 미혼이다.,너처럼 나도 미혼이다.
259,좀 있은 집이라고 너무 거들먹거린다.,좀 있는 집이라고 너무 거들먹거린다.
260,학교는 어저께가 쉬었다.,학교가 어저께는 쉬었다.
261,이것은 셋 중에서 썩 좋다.,이것은 셋 중에서 매우 좋다.
262,그는 밥을 먹고 싶더라.,나는 밥을 먹고 싶더라.
263,나는 모자를 꾸었다.,나는 모자를 빌렸다.
264,무척 태풍이 비켜 갔다.,무척 다행히 태풍이 비켜 갔다.
265,정박한 배가 꽤이다.,배가 꽤 정박했다.
266,어떠하고 있다고?,어찌하고 있다고?
267,웃음은 사람을 젊게 한다.,웃음은 사람을 젊어지게 한다.
268,바람이 부는 중이다.,바람이 불고 있다.
269,내가 손이 크더라.,내가 손이 크더라.
270,날씨가 좋아야 여행가고 날씨가 좋지 않아야 여행은 못 간다.,날씨가 좋아야 여행가고 날씨가 좋지 않으면 여행은 못 간다.
271,그 사람은 모질지 못하다.,그 사람은 모질지 못하다.
272,"젊은 친구야, 그런 염세적인 생각은 집어치게.","젊은 친구야, 그런 염세적인 생각은 집어치우게."
273,영수가 갔지 않는지 물어보라.,영수가 가지 않았는지 물어보라.
274,철수를 영희가 사랑한다는 소문이 퍼져 있다. 그러나 동수를 퍼져 있지 않다.,철수는 영희가 사랑한다는 소문이 퍼져 있다. 그러나 동수는 퍼져 있지 않다.
275,"오빤, 그럼 집에 못 갈 테예요?","오빤, 그럼 집에 안 갈 테예요?"
276,이곳은 군사 지역이라서 사진을 안 찍습니다.,이곳은 군사 지역이라서 사진을 안 찍습니다.
277,나는 그 친구의 이야기를 듣느라니까 눈물이 나겠어요.,나는 그 친구의 이야기를 듣느라니까 눈물이 났어요.
278,철수가 학교에 갔기를 당부한다.,철수가 학교에 가기를 당부한다.
279,반장은 김 영숙이이고 부반장은 박 혜순이이다.,반장은 김영숙이고 부반장은 박혜순이다.
280,열차가 꽤 많이 탈선했다.,열차가 꽤 지나다닌다.
281,"그 집에 내가 먼저 올테니, 넌 나중에 와.","그 집에 내가 먼저 갈테니, 넌 나중에 와."
282,"물건이 좋은데, 값은 비싸다.","물건이 나쁜데, 값은 비싸다."
283,철수가 학교에 감이 쉽다.,철수가 학교에 가기가 쉽다.
284,비가 왔지 않았느냐?,비가 왔지 않느냐?
285,"오늘은 매우 안 춥고, 매우 덥다.","오늘은 매우 안 춥고, 조금 춥다."
286,장갑을 손에 꽂다.,장갑을 손에 끼다.
287,어제 너는 죽었다.,내일 너는 죽었다.
288,영이가 먹었지? 안 먹었지?,영이가 먹었어? 안 먹었어?
289,"보인다, 순애가 피곤하여 ",순애가 피곤하여 보인다.
290,선생님께서 스승이시다.,선생님께서는 스승이시다.
291,나는 세면대로 머리를 감았다.,나는 세면대에 머리를 감았다.
292,두더지가 땅을 파는 중이다.,두더지가 땅을 파고 있다.
293,장관이 부하를 때린 행동이 못마땅하다.,장관이 부하를 때린 행동이 못마땅하다.
294,철수가 가는 곳이 어디를 나는 모른다.,철수가 가는 곳이 어디인가를 나는 모른다.
295,선생은 학생은 상을 주었다.,선생이 학생은 상을 주었다.
296,나는 동진이가 좋은 시인으로 안다.,나는 동진이를 좋은 시인으로 안다.
297,바람이 들어오게 날이 더우니까 문을 열어라.,날이 더우니까 바람이 들어오게 문을 열어라.
298,누군가가 나를 밀었다.,누군가가 나를 밀었다.
299,영수는 갔지 못 하니?,영수는 가지 못 했니?
300,누구든지 집에 가서 오늘 얘기 어른들한테 하면 국물도 없지.,누구든지 집에 가서 오늘 얘기 어른들한테 하면 국물도 없어.
301,어른들이 쥐불놀이를 하는 건 아니겠어?,어른들이 쥐불놀이를 하는 건 아니겠지?
302,너구리가 바위 밑을 여러 개의 땅굴을 팠다.,너구리가 바위 밑에 땅굴을 팠다.
303,우리들은 밥을 먹었고서 이야기를 나누었다.,우리들은 밥을 먹었고 이야기를 나누었다.
304,물은 출렁한다.,물은 출렁인다.
305,영수는 그 소식을 알지 않았니?,영이는 그 소식을 알았지 않니?
306,나는 영희가 다시 없는 최고다.,나는 영희가 다시 없이 최고다.
307,극장은 매일 관객에 가득 찼다.,극장은 매일 관객에 가득 찼다.
308,아무도 안 왔다고 물었다.,아무도 안 왔다고 대답했다.
309,흥부가 놀부에게 때려 진다.,흥부가 놀부에게 맞는다.
310,아버지는 영희를 예뻐가 한다.,아버지는 영희를 예뻐를 한다.
311,그는 못 부지런하다.,그는 부지런하지 못하다.
312,그는 단정히 앉고 공부를 하였다.,그는 단정히 앉아 공부를 하였다.
313,그는 외딴섬에 갔는데 곧 돌아오겠다.,그는 외딴섬에 갔는데 곧 돌아올 것이다.
314,내가 담배를 끄더라.,내가 얼떨결에 담배를 끄더라.
315,철수는 영이가 기쁘더라고 말했다.,철수는 자기가 기쁘더라고 말했다.
316,팔다리가 쑤시는 것을 보니 비가 올 것이다.,팔다리가 쑤시는 것을 보니 비가 올 것이다.
317,"한 순간의 억울함을 참거든, 백일근심을 면하게 된다.","한 순간의 억울함을 참으면, 백일근심을 면하게 된다."
318,철수는 영희를 안 만나러 나가버렸다.,철수는 영희를 안 만나려고 나가 버렸다.
319,철수는 영희를 데리려고 갔다.,철수는 영희를 데리러 갔다.
320,철수는 아직도 그 이야기를 믿는 중이다.,철수는 아직도 그 이야기를 믿는 중이다.
321,그 그림의 가치를 인정을 하면서도 사 두려고 하였다.,그 그림의 가치를 인정을 하지 않으면서도 사 두려고 하였다.
322,영수는 전혀 먹었지 않니?,영수는 벌써 먹지 않았니?
323,영이가 공부하기가 보인다.,영이가 공부하기가 보인다.
324,"선생은 가르치고, 학생은 배운다.","선생은 가르치고, 학생은 배운다."
325,"오늘은 매우 춥지 않고, 매우 덥다.","오늘은 매우 춥지 않고, 조금 춥다."
326,그는 부산에서 이르렀다.,그는 부산에서 이르렀다.
327,그 분에게는 어려워서 감히 안 여쭙겠다.,그 분에게는 어려워서 감히 못 여쭙겠다.
328,그는 축구가 좋다.,나는 축구가 좋다.
329,우리는 그 곤경을 벗어서 났다.,우리는 그 곤경을 벗어났다.
330,순이는 빨리 다행히 달린다.,순이는 다행히 빨리 달린다.
331,나는 자기가 맡은 일이나 충실히 하겠다.,나는 내가 맡은 일이나 충실히 하겠다.
332,그 아이가 보이는 것은 총기가 있게이다.,그 아이가 보이는 것은 총기가 있게이다.
333,그는 달이 떠서 달 구경을 나가라.,그는 달이 떠서 달 구경을 나가니?
334,대개 그는 올 것이다.,아마 그는 올 것이다.
